TubeNo,LiqLevel,SepLevel,Tubeheight
1,50.4,20.0,99.5
2,30.4,15.0,99.5
3,40.4,15.2,99.5
4,50.4,15.2,99.5
5,25.4,15.5,99.5
6,35.4,15.2,99.5
7,30.2,15.2,99.5
8,50.4,15.2,99.5
9,25.4,15.5,99.5
10,30.2,15.2,99.5
11,50.4,15.2,99.5
12,30.4,15.0,99.5
13,40.4,15.2,99.5
14,50.4,15.2,99.5
15,25.4,15.5,99.5
16,35.4,13.2,99.5
17,30.2,15.2,99.5
18,50.4,15.2,99.5
19,25.4,15.5,99.5
20,30.2,15.2,99.5
21,50.4,15.2,99.5
22,30.4,15.0,99.5
23,40.4,15.2,99.5
24,50.4,15.2,99.5
25,25.4,15.5,99.5
26,35.4,13.2,99.5
27,30.2,15.2,99.5
28,50.4,15.2,99.5
29,25.4,15.5,99.5
30,30.2,15.2,99.5
31,50.4,15.2,99.5
32,30.4,15.0,99.5
33,40.4,15.2,99.5
