Tube ID,Row,Column,Original Sample,Box ID:545554
55321375,1,A,,
55298784,1,B,,
54005407,1,C,,
55295455,1,D,,
54500951,1,E,,
55554284,1,F,,
55557486,1,G,,
1545100,1,H,,
55387267,2,A,,
55385401,2,B,,
55553528,2,C,,
55549773,2,D,,
55497796,2,E,,
1454257,2,F,,
55344928,2,G,,
55554763,2,H,,
55425458,3,A,,
55325294,3,B,,
54556553,3,C,,
55552843,3,D,,
55406292,3,E,,
55354375,3,F,,
54588466,3,G,,
1455255,3,H,,
2781847,4,A,,
1454656,4,B,,
55004832,4,C,,
54729934,4,D,,
55455652,4,E,,
55334196,4,F,,
55487868,4,G,,
55336742,4,H,,
55345894,5,A,,
55475406,5,B,,
55551955,5,C,,
55352435,5,D,,
55454772,5,E,,
55298737,5,F,,
55336727,5,G,,
45787875,5,H,,
55332004,6,A,,
4515493,6,B,,
55365598,6,C,,
54588467,6,D,,
1087406,6,E,,
8810045,6,F,,
55555557,6,G,,
55388554,6,H,,
55464681,7,A,,
55388498,7,B,,
4515981,7,C,,
55355039,7,D,,
52455404,7,E,,
55395438,7,F,,
55543254,7,G,,
55425400,7,H,,
1453815,8,A,,
55551675,8,B,,
54500974,8,C,,
55415549,8,D,,
55341282,8,E,,
55452866,8,F,,
55338926,8,G,,
55358192,8,H,,
4515299,9,A,,
55479532,9,B,,
55400754,9,C,,
55428416,9,D,,
6586863,9,E,,
55300354,9,F,,
55423359,9,G,,
55512800,9,H,,
55424723,10,A,,
54585959,10,B,,
55354765,10,C,,
55544746,10,D,,
55299355,10,E,,
55510083,10,F,,
55325439,10,G,,
13563545,10,H,,
55340036,11,A,,
55334555,11,B,,
55455354,11,C,,
15563759,11,D,,
55335269,11,E,,
55376274,11,F,,
55495563,11,G,,
55406329,11,H,,
55522101,12,A,,
55340089,12,B,,
55300009,12,C,,
55413001,12,D,,
55514789,12,E,,
55381174,12,F,,
15636815,12,G,,
55454355,12,H,,
