Tube ID,Row,Column,Original Sample,Box ID:262726
273226375,1,A,,
27298784,1,B,,
26002607,1,C,,
27292655,1,D,,
26500951,1,E,,
27526284,1,F,,
27277486,1,G,,
13455100,1,H,,
27387267,2,A,,
27382601,2,B,,
27273528,2,C,,
27269773,2,D,,
27497796,2,E,,
1434257,2,F,,
27344928,2,G,,
27274763,2,H,,
27425458,3,A,,
27325294,3,B,,
26276273,3,C,,
27272843,3,D,,
27406292,3,E,,
27354375,3,F,,
26588466,3,G,,
13445227,3,H,,
34521847,4,A,,
4514656,4,B,,
27004832,4,C,,
26729934,4,D,,
27427652,4,E,,
27334196,4,F,,
27487868,4,G,,
27336742,4,H,,
27345894,5,A,,
27472606,5,B,,
27271927,5,C,,
27352435,5,D,,
27426772,5,E,,
27298737,5,F,,
27336727,5,G,,
43616846,5,H,,
27332004,6,A,,
36512693,6,B,,
27362798,6,C,,
26588467,6,D,,
36510406,6,E,,
10456000,6,F,,
27275277,6,G,,
27388274,6,H,,
27464681,7,A,,
27388498,7,B,,
46215981,7,C,,
27327039,7,D,,
4532604,7,E,,
27392638,7,F,,
27263226,7,G,,
27425400,7,H,,
1335815,8,A,,
27271675,8,B,,
26500974,8,C,,
27412749,8,D,,
27341282,8,E,,
27452866,8,F,,
27338926,8,G,,
27358192,8,H,,
13435299,9,A,,
27479532,9,B,,
27400726,9,C,,
27428416,9,D,,
57734555,9,E,,
27300326,9,F,,
27423359,9,G,,
27512800,9,H,,
27424723,10,A,,
26585959,10,B,,
27326765,10,C,,
27264746,10,D,,
27299327,10,E,,
27510083,10,F,,
27322639,10,G,,
1335265,10,H,,
27340036,11,A,,
27334527,11,B,,
27427326,11,C,,
1543759,11,D,,
27335269,11,E,,
27376274,11,F,,
27492763,11,G,,
27406329,11,H,,
27522101,12,A,,
27340089,12,B,,
27300009,12,C,,
27413001,12,D,,
27514789,12,E,,
27381174,12,F,,
4316815,12,G,,
27426327,12,H,,
