Tube ID,Row,Column,Original Sample,Box ID:707170
"71321375","1","A","",
"71298784","1","B","",
"70807007","1","C","",
"71299055","1","D","",
"70580951","1","E","",
"71570284","1","F","",
"71717486","1","G","",
"80015180","1","H","",
"71387267","2","A","",
"71389801","2","B","",
"71713528","2","C","",
"71709773","2","D","",
"71497796","2","E","",
"80014257","2","F","",
"71344928","2","G","",
"71714763","2","H","",
"71425458","3","A","",
"71325294","3","B","",
"70716713","3","C","",
"71712843","3","D","",
"71406292","3","E","",
"71354375","3","F","",
"70588466","3","G","",
"80015291","3","H","",
"80021847","4","A","",
"80014656","4","B","",
"71804832","4","C","",
"70729934","4","D","",
"71471652","4","E","",
"71334196","4","F","",
"71487868","4","G","",
"71336742","4","H","",
"71345894","5","A","",
"71479006","5","B","",
"71711971","5","C","",
"71352435","5","D","",
"71470772","5","E","",
"71298737","5","F","",
"71336727","5","G","",
"80016846","5","H","",
"71332804","6","A","",
"80017093","6","B","",
"71367198","6","C","",
"70588467","6","D","",
"80010406","6","E","",
"80018080","6","F","",
"71715717","6","G","",
"71388914","6","H","",
"71464681","7","A","",
"71388498","7","B","",
"80015981","7","C","",
"71391039","7","D","",
"80007004","7","E","",
"71397038","7","F","",
"71703270","7","G","",
"71425480","7","H","",
"80013815","8","A","",
"71711675","8","B","",
"70580974","8","C","",
"71417149","8","D","",
"71341282","8","E","",
"71452866","8","F","",
"71338926","8","G","",
"71358192","8","H","",
"80015299","9","A","",
"71479532","9","B","",
"71480770","9","C","",
"71428416","9","D","",
"80057755","9","E","",
"71380370","9","F","",
"71423359","9","G","",
"71512880","9","H","",
"71424723","10","A","",
"70585959","10","B","",
"71370765","10","C","",
"71704746","10","D","",
"71299371","10","E","",
"71518083","10","F","",
"71329039","10","G","",
"80013905","10","H","",
"71340036","11","A","",
"71334571","11","B","",
"71471390","11","C","",
"80015759","11","D","",
"71335269","11","E","",
"71376274","11","F","",
"71497163","11","G","",
"71406329","11","H","",
"71522101","12","A","",
"71348089","12","B","",
"71380809","12","C","",
"71413801","12","D","",
"71514789","12","E","",
"71381174","12","F","",
"80016815","12","G","",
"71470391","12","H","",
