Tube ID,Row,Column,Original Sample,Box ID:403130
"31321375","1","A","",
"31298784","1","B","",
"30806007","1","C","",
"31299055","1","D","",
"30580951","1","E","",
"31570284","1","F","",
"31317486","1","G","",
"20015180","1","H","",
"31387267","2","A","",
"31389801","2","B","",
"31313528","2","C","",
"31309773","2","D","",
"31497796","2","E","",
"20014257","2","F","",
"31344928","2","G","",
"31314763","2","H","",
"31425458","3","A","",
"31325294","3","B","",
"30716713","3","C","",
"31312843","3","D","",
"31406292","3","E","",
"31354375","3","F","",
"30588466","3","G","",
"20015291","3","H","",
"20021847","4","A","",
"20014656","4","B","",
"31504832","4","C","",
"30729934","4","D","",
"31471652","4","E","",
"31334196","4","F","",
"31487868","4","G","",
"31336742","4","H","",
"31345894","5","A","",
"31479006","5","B","",
"31311961","5","C","",
"31352435","5","D","",
"31470772","5","E","",
"31298737","5","F","",
"31336727","5","G","",
"20016846","5","H","",
"31332204","6","A","",
"20017093","6","B","",
"31366198","6","C","",
"30588467","6","D","",
"20010406","6","E","",
"20015080","6","F","",
"31315617","6","G","",
"31388914","6","H","",
"31464681","7","A","",
"31388498","7","B","",
"20015981","7","C","",
"31391039","7","D","",
"20007004","7","E","",
"31396038","7","F","",
"31303270","7","G","",
"31425480","7","H","",
"20013815","8","A","",
"31311675","8","B","",
"30580974","8","C","",
"31417149","8","D","",
"31341282","8","E","",
"31452866","8","F","",
"31338926","8","G","",
"31358192","8","H","",
"20015299","9","A","",
"31479532","9","B","",
"31420730","9","C","",
"31428416","9","D","",
"20057755","9","E","",
"31320370","9","F","",
"31423359","9","G","",
"31512850","9","H","",
"31424723","10","A","",
"30585959","10","B","",
"31370765","10","C","",
"31304746","10","D","",
"31299371","10","E","",
"31518083","10","F","",
"31329039","10","G","",
"20013905","10","H","",
"31340036","11","A","",
"31334561","11","B","",
"31471390","11","C","",
"20015759","11","D","",
"31335269","11","E","",
"31376274","11","F","",
"31497163","11","G","",
"31406329","11","H","",
"31522101","12","A","",
"31342089","12","B","",
"31380209","12","C","",
"31413201","12","D","",
"31514789","12","E","",
"31381174","12","F","",
"20016815","12","G","",
"31460391","12","H","",
